source,age_group,year,quarter,period,homeownership_rate
Census HVS,U.S.,2016,Q2,2016 Q2,62.9
Census HVS,U.S.,2016,Q3,2016 Q3,63.5
Census HVS,U.S.,2016,Q4,2016 Q4,63.7
Census HVS,U.S.,2017,Q1,2017 Q1,63.6
Census HVS,U.S.,2017,Q2,2017 Q2,63.7
Census HVS,U.S.,2017,Q3,2017 Q3,63.9
Census HVS,U.S.,2017,Q4,2017 Q4,64.2
Census HVS,U.S.,2018,Q1,2018 Q1,64.2
Census HVS,U.S.,2018,Q2,2018 Q2,64.3
Census HVS,U.S.,2018,Q3,2018 Q3,64.4
Census HVS,U.S.,2018,Q4,2018 Q4,64.8
Census HVS,U.S.,2019,Q1,2019 Q1,64.2
Census HVS,U.S.,2019,Q2,2019 Q2,64.1
Census HVS,U.S.,2019,Q3,2019 Q3,64.8
Census HVS,U.S.,2019,Q4,2019 Q4,65.1
Census HVS,U.S.,2020,Q1,2020 Q1,65.3
Census HVS,U.S.,2020,Q2,2020 Q2,67.9
Census HVS,U.S.,2020,Q3,2020 Q3,67.4
Census HVS,U.S.,2020,Q4,2020 Q4,65.8
Census HVS,U.S.,2021,Q1,2021 Q1,65.6
Census HVS,U.S.,2021,Q2,2021 Q2,65.4
Census HVS,U.S.,2021,Q3,2021 Q3,65.4
Census HVS,U.S.,2021,Q4,2021 Q4,65.5
Census HVS,U.S.,2022,Q1,2022 Q1,65.4
Census HVS,U.S.,2022,Q2,2022 Q2,65.8
Census HVS,U.S.,2022,Q3,2022 Q3,66.0
Census HVS,U.S.,2022,Q4,2022 Q4,65.9
Census HVS,U.S.,2023,Q1,2023 Q1,66.0
Census HVS,U.S.,2023,Q2,2023 Q2,65.9
Census HVS,U.S.,2023,Q3,2023 Q3,66.0
Census HVS,U.S.,2023,Q4,2023 Q4,65.7
Census HVS,U.S.,2024,Q1,2024 Q1,65.6
Census HVS,U.S.,2024,Q2,2024 Q2,65.6
Census HVS,U.S.,2024,Q3,2024 Q3,65.6
Census HVS,U.S.,2024,Q4,2024 Q4,65.7
Census HVS,U.S.,2025,Q1,2025 Q1,65.1
Census HVS,U.S.,2025,Q2,2025 Q2,65.0
Census HVS,U.S.,2025,Q3,2025 Q3,65.3
Census HVS,U.S.,2025,Q4,2025 Q4,65.7
Census HVS,Under 35 years,1994,Q1,1994 Q1,37.1
Census HVS,Under 35 years,1994,Q2,1994 Q2,36.8
Census HVS,Under 35 years,1994,Q3,1994 Q3,37.5
Census HVS,Under 35 years,1994,Q4,1994 Q4,38.0
Census HVS,Under 35 years,1995,Q1,1995 Q1,37.7
Census HVS,Under 35 years,1995,Q2,1995 Q2,38.7
Census HVS,Under 35 years,1995,Q3,1995 Q3,39.1
Census HVS,Under 35 years,1995,Q4,1995 Q4,39.1
Census HVS,Under 35 years,1996,Q1,1996 Q1,38.8
Census HVS,Under 35 years,1996,Q2,1996 Q2,39.3
Census HVS,Under 35 years,1996,Q3,1996 Q3,39.0
Census HVS,Under 35 years,1996,Q4,1996 Q4,39.1
Census HVS,Under 35 years,1997,Q1,1997 Q1,38.6
Census HVS,Under 35 years,1997,Q2,1997 Q2,38.6
Census HVS,Under 35 years,1997,Q3,1997 Q3,38.9
Census HVS,Under 35 years,1997,Q4,1997 Q4,38.7
Census HVS,Under 35 years,1998,Q1,1998 Q1,39.0
Census HVS,Under 35 years,1998,Q2,1998 Q2,39.3
Census HVS,Under 35 years,1998,Q3,1998 Q3,39.5
Census HVS,Under 35 years,1998,Q4,1998 Q4,39.6
Census HVS,Under 35 years,1999,Q1,1999 Q1,39.4
Census HVS,Under 35 years,1999,Q2,1999 Q2,39.1
Census HVS,Under 35 years,1999,Q3,1999 Q3,40.1
Census HVS,Under 35 years,1999,Q4,1999 Q4,40.3
Census HVS,Under 35 years,2000,Q1,2000 Q1,40.5
Census HVS,Under 35 years,2000,Q2,2000 Q2,40.2
Census HVS,Under 35 years,2000,Q3,2000 Q3,41.1
Census HVS,Under 35 years,2000,Q4,2000 Q4,41.2
Census HVS,Under 35 years,2001,Q1,2001 Q1,40.4
Census HVS,Under 35 years,2001,Q1,2001 Q1,41.0
Census HVS,Under 35 years,2001,Q2,2001 Q2,40.8
Census HVS,Under 35 years,2001,Q2,2001 Q2,41.9
Census HVS,Under 35 years,2001,Q3,2001 Q3,41.6
Census HVS,Under 35 years,2001,Q3,2001 Q3,42.5
Census HVS,Under 35 years,2001,Q4,2001 Q4,42.2
Census HVS,Under 35 years,2001,Q4,2001 Q4,42.7
Census HVS,Under 35 years,2003,Q1,2003 Q1,41.7
Census HVS,Under 35 years,2003,Q2,2003 Q2,40.8
Census HVS,Under 35 years,2003,Q3,2003 Q3,41.5
Census HVS,Under 35 years,2003,Q4,2003 Q4,42.0
Census HVS,Under 35 years,2004,Q1,2004 Q1,42.3
Census HVS,Under 35 years,2004,Q2,2004 Q2,43.6
Census HVS,Under 35 years,2004,Q3,2004 Q3,43.1
Census HVS,Under 35 years,2004,Q4,2004 Q4,43.3
Census HVS,Under 35 years,2005,Q1,2005 Q1,43.3
Census HVS,Under 35 years,2005,Q2,2005 Q2,42.8
Census HVS,Under 35 years,2005,Q3,2005 Q3,43.0
Census HVS,Under 35 years,2005,Q4,2005 Q4,43.1
Census HVS,Under 35 years,2006,Q1,2006 Q1,42.3
Census HVS,Under 35 years,2006,Q2,2006 Q2,42.4
Census HVS,Under 35 years,2006,Q3,2006 Q3,43.0
Census HVS,Under 35 years,2006,Q4,2006 Q4,42.8
Census HVS,Under 35 years,2007,Q1,2007 Q1,41.7
Census HVS,Under 35 years,2007,Q2,2007 Q2,41.9
Census HVS,Under 35 years,2007,Q3,2007 Q3,42.0
Census HVS,Under 35 years,2007,Q4,2007 Q4,41.0
Census HVS,Under 35 years,2008,Q1,2008 Q1,41.3
Census HVS,Under 35 years,2008,Q2,2008 Q2,41.2
Census HVS,Under 35 years,2008,Q3,2008 Q3,41.0
Census HVS,Under 35 years,2008,Q4,2008 Q4,40.3
Census HVS,Under 35 years,2009,Q1,2009 Q1,39.8
Census HVS,Under 35 years,2009,Q2,2009 Q2,39.0
Census HVS,Under 35 years,2009,Q3,2009 Q3,39.8
Census HVS,Under 35 years,2009,Q4,2009 Q4,40.4
Census HVS,Under 35 years,2010,Q1,2010 Q1,38.9
Census HVS,Under 35 years,2010,Q2,2010 Q2,39.0
Census HVS,Under 35 years,2010,Q3,2010 Q3,39.2
Census HVS,Under 35 years,2010,Q4,2010 Q4,39.2
Census HVS,Under 35 years,2011,Q1,2011 Q1,37.9
Census HVS,Under 35 years,2011,Q2,2011 Q2,37.5
Census HVS,Under 35 years,2011,Q3,2011 Q3,38.0
Census HVS,Under 35 years,2011,Q4,2011 Q4,37.6
Census HVS,Under 35 years,2012,Q1,2012 Q1,36.8
Census HVS,Under 35 years,2012,Q2,2012 Q2,36.5
Census HVS,Under 35 years,2012,Q3,2012 Q3,36.3
Census HVS,Under 35 years,2012,Q4,2012 Q4,37.1
Census HVS,Under 35 years,2013,Q1,2013 Q1,36.8
Census HVS,Under 35 years,2013,Q2,2013 Q2,36.7
Census HVS,Under 35 years,2013,Q3,2013 Q3,36.8
Census HVS,Under 35 years,2013,Q4,2013 Q4,36.8
Census HVS,Under 35 years,2014,Q1,2014 Q1,36.2
Census HVS,Under 35 years,2014,Q2,2014 Q2,35.9
Census HVS,Under 35 years,2014,Q3,2014 Q3,36.0
Census HVS,Under 35 years,2014,Q4,2014 Q4,35.3
Census HVS,Under 35 years,2015,Q1,2015 Q1,34.6
Census HVS,Under 35 years,2015,Q2,2015 Q2,34.8
Census HVS,Under 35 years,2015,Q3,2015 Q3,35.8
Census HVS,Under 35 years,2015,Q4,2015 Q4,34.7
Census HVS,Under 35 years,2016,Q1,2016 Q1,34.2
Census HVS,Under 35 years,2016,Q2,2016 Q2,34.1
Census HVS,Under 35 years,2016,Q3,2016 Q3,35.2
Census HVS,Under 35 years,2016,Q4,2016 Q4,34.7
Census HVS,Under 35 years,2017,Q1,2017 Q1,34.3
Census HVS,Under 35 years,2017,Q2,2017 Q2,35.3
Census HVS,Under 35 years,2017,Q3,2017 Q3,35.6
Census HVS,Under 35 years,2017,Q4,2017 Q4,36.0
Census HVS,Under 35 years,2018,Q1,2018 Q1,35.3
Census HVS,Under 35 years,2018,Q2,2018 Q2,36.5
Census HVS,Under 35 years,2018,Q3,2018 Q3,36.8
Census HVS,Under 35 years,2018,Q4,2018 Q4,36.5
Census HVS,Under 35 years,2019,Q1,2019 Q1,35.4
Census HVS,Under 35 years,2019,Q2,2019 Q2,36.4
Census HVS,Under 35 years,2019,Q3,2019 Q3,37.5
Census HVS,Under 35 years,2019,Q4,2019 Q4,37.6
Census HVS,Under 35 years,2020,Q1,2020 Q1,37.3
Census HVS,Under 35 years,2020,Q2,2020 Q2,40.6
Census HVS,Under 35 years,2020,Q3,2020 Q3,40.2
Census HVS,Under 35 years,2020,Q4,2020 Q4,38.5
Census HVS,Under 35 years,2021,Q1,2021 Q1,38.1
Census HVS,Under 35 years,2021,Q2,2021 Q2,37.8
Census HVS,Under 35 years,2021,Q3,2021 Q3,38.5
Census HVS,Under 35 years,2021,Q4,2021 Q4,38.3
Census HVS,Under 35 years,2022,Q1,2022 Q1,38.8
Census HVS,Under 35 years,2022,Q2,2022 Q2,39.1
Census HVS,Under 35 years,2022,Q3,2022 Q3,39.3
Census HVS,Under 35 years,2022,Q4,2022 Q4,38.7
Census HVS,Under 35 years,2023,Q1,2023 Q1,39.3
Census HVS,Under 35 years,2023,Q2,2023 Q2,38.5
Census HVS,Under 35 years,2023,Q3,2023 Q3,38.3
Census HVS,Under 35 years,2023,Q4,2023 Q4,38.1
Census HVS,Under 35 years,2024,Q1,2024 Q1,37.7
Census HVS,Under 35 years,2024,Q2,2024 Q2,37.4
Census HVS,Under 35 years,2024,Q3,2024 Q3,37.0
Census HVS,Under 35 years,2024,Q4,2024 Q4,36.3
Census HVS,Under 35 years,2025,Q1,2025 Q1,36.6
Census HVS,Under 35 years,2025,Q2,2025 Q2,36.4
Census HVS,Under 35 years,2025,Q3,2025 Q3,37.5
Census HVS,Under 35 years,2025,Q4,2025 Q4,37.9
